title,url,outlet,outlet_url,date,embed,cat
Bloomberg exposes racial and gender bias in AI model,https://rowsandcolumns.substack.com/p/bloomberg-exposes-racial-and-gender,Rows & Columns,https://rowsandcolumns.substack.com/,6/1/23,FALSE,research
"Black Artists Say A.I. Shows Bias, With Algorithms Erasing Their History",https://www.nytimes.com/2023/07/04/arts/design/black-artists-bias-ai.html,The New York Times,https://www.nytimes.com/,7/1/23,FALSE,research
"Decoding the Discussion: In the Senate AI Hearing, Uncertainty Speaks Louder than Consensus",https://lastweekin.ai/p/senate-ai-hearing,Skynet Today,https://www.skynettoday.com/,6/1/23,FALSE,research
A Gender Perspective on AI Risks to National Security,https://oursecurefuture.org/sites/default/files/2024-03/OSF-GenderPerspectiveOnAIRisks.pdf,Our Secure Future,https://oursecurefuture.org/,3/1/24,FALSE,research
Rendering misrepresentation: Diversity failures in AI image generation,https://www.brookings.edu/articles/rendering-misrepresentation-diversity-failures-in-ai-image-generation/,The Brookings Institution,https://www.brookings.edu/,2/1/24,FALSE,research
Racial bias in OpenAI GPT resume rankings,https://flowingdata.com/2024/03/13/racial-bias-in-openai-gpt-resume-rankings/,FLOWINGDATA,https://flowingdata.com/,3/1/24,FALSE,research
Best Data Visualization Projects of 2023,https://flowingdata.com/2023/12/29/best-of-2023/,FLOWINGDATA,https://flowingdata.com/,12/1/23,FALSE,research
Helping students understand the biases in generative AI,https://cte.ku.edu/addressing-bias-ai,The University of Kansas,https://ku.edu/,2/1/24,FALSE,research
Data Journalism Top 10,https://gijn.org/stories/ddj-generative-ai-hiring-bias-womens-national-politics/,Global Investigative Journalism Network (GIJN),https://gijn.org/,3/1/24,FALSE,news
4 ways AI is contributing to bias in the workplace,https://www.zdnet.com/article/4-ways-ai-is-contributing-to-bias-in-the-workplace/,ZDNET,https://www.zdnet.com/,3/1/24,FALSE,news
Ethics and Costs of Generative AI,https://libguides.amherst.edu/c.php?g=1350530&p=9969379,Amherst College Library ,https://www.amherst.edu/library/,4/1/24,FALSE,news
Exploring the Impact of AI on Black Americans,https://hai.stanford.edu/sites/default/files/2024-02/Exploring-Impact-AI-Black-Americans.pdf,Stanford University Human Centered Artificial Intelligence (HAI),https://hai.stanford.edu/,2/1/24,FALSE,news
"The Crunch: cherry tree blooms, the cost of booze and AI bias",https://www.theguardian.com/news/2024/mar/21/the-crunch-cherry-trees-booze-and-ai-bias,The Guardian,https://www.theguardian.com/us,3/1/24,FALSE,news
Tackling AI Hyping,https://link.springer.com/article/10.1007/s43681-024-00481-y,AI and Ethics,https://link.springer.com/journal/43681,4/1/24,FALSE,news
Advancing a More Global Agenda for Trustworthy Artificial Intelligence,https://carnegieendowment.org/research/2024/04/advancing-a-more-global-agenda-for-trustworthy-artificial-intelligence?lang=en,Carnegie Endowment for International Peace,,4/1/24,FALSE,news
Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,National Institute of Standards in Technology (NIST),https://www.nist.gov/,7/1/24,FALSE,news
"Unfair Competition in the Creative Industries: The Impact of AI
Scraping",https://ir.law.utk.edu/cgi/viewcontent.cgi?article=1169&context=tjlp,Tenessee Journal of Law and Policy,https://ir.law.utk.edu/tjlp/,5/1/24,FALSE,policy (institution)
Comment to National Institute of Standards in Technology (NIST),https://downloads.regulations.gov/NIST-2023-0009-0165/attachment_1.pdf,The Center for AI and Digital Policy (CAIDP),https://www.caidp.org/,2/1/24,FALSE,policy (institution)
Generative AI and K-12 Education: An MIT Perspective,https://mit-genai.pubpub.org/pub/4k9msp17/release/1,Massachussetts Institute of Technology (MIT),https://mit-genai.pubpub.org/,3/1/24,FALSE,policy (institution)
Generating Harms,https://epic.org/wp-content/uploads/2024/05/EPIC-Generative-AI-II-Report-May2024-1.pdf,Electronic Privacy Information Center,https://epic.org/,3/1/24,FALSE,policy (institution)
The harms of terminology: why we should reject so-called “frontier AI”,https://link.springer.com/article/10.1007/s43681-024-00438-1,AI and Ethics,https://link.springer.com/journal/43681,3/1/24,FALSE,policy (institution)
Tips for the use of generative AI in research and education,https://www.epfl.ch/about/vice-presidencies/vice-presidency-for-academic-affairs-vpa/tips-for-the-use-of-generative-ai-in-research-and-education/,EPFL,https://www.epfl.ch/en/,6/1/24,FALSE,policy (institution)
The Legal Imitation Game: Generative AI’s Incompatibility with Clinical Legal Education,https://ir.lawnet.fordham.edu/flr/vol92/iss5/6/,Foldham Law Review,https://ir.lawnet.fordham.edu/flr/,4/1/24,FALSE,policy (institution)
Understanding Generative Artificial Intelligence's Implications on Gender Using a Value Chain Approach and a UNGP lens,https://www.undp.org/sites/g/files/zskgke326/files/2024-06/understanding_the_implications_of_genai_on_gender_undp_aapti.pdf,United Nations Development Programme (UNDP),https://www.undp.org/,6/1/24,FALSE,policy (institution)
Policy on Responsible Use of Artificial Intelligence,https://my.sonoran.edu/ICS/icsfs/AI_-_Policy_on_Responsible_Use_of_AI_approved_1-24.pdf?target=4dddeef3-651f-45d9-831a-3e66c6083f90,Sonoran University of Health Sciences,https://www.sonoran.edu/,1/1/24,FALSE,policy (institution)
